Date planifiée,Mois,Moment de la journée,Id BT,Statut BT,No.local,Description local,No.tâche,Description tâche,Nom route,Nom utilisateur,Temps planifié,Date originale,Date planifiée.1,Date exécutée,Temps réel,Type,Mois_Année,Bâtiment,Retard (jours)
2025-05-30,mai,Jour,60089050,Non-fait,255-B1,Classe maternelle,Nchaise,Nettoyer chaises,Route 1 - jour Bellecombe,,3.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089011,Non-fait,1-016-B1,Escalier,Drampes,Desinfecter rampes et main courantes,Route 1 - jour Bellecombe,,0.38,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089010,Non-fait,1-016-B1,Escalier,Etaches,"Enlever toutes les tâches ou marques de souillures (sols, vitres, portes, murs, table, comptoir))",Route 1 - jour Bellecombe,,0.25,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089310,Non-fait,100-2-B2,Escalier,Vplanch36,"Vadrouiller plancher 36""",Route 2 - jour Entre-Lacs,,1.11,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089379,Non-fait,257-B2,Classe maternelle,Ltableau,"Laver tableau,aguets, brosses si pas effacé",Route 2 - jour Entre-Lacs,,1.0,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089389,Non-fait,258-B2,Classe 1er cycle,Vplanch24,"Vadrouiller sols 24""",Route 2 - jour Entre-Lacs,,5.25,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089390,Non-fait,258-B2,Classe 1er cycle,Ncomptoir,Nettoyer comptoir,Route 2 - jour Entre-Lacs,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089357,Non-fait,213-B2,Corridor,Vplanch60,"Vadrouiller plancher 60""",Route 2 - jour Entre-Lacs,,6.9,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089051,Non-fait,255-B1,Classe maternelle,Ntable,Nettoyer table,Route 1 - jour Bellecombe,,7.5,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Bellecombe,
2025-05-30,mai,Jour,60089356,Non-fait,211B-B2,Toilettes,Rdistrib,"Remplir distributeurs savon et papier( essuie-mains, toilettes)",Route 2 - jour Entre-Lacs,,1.21,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089355,Non-fait,211B-B2,Toilettes,Vbloc,Vérifier les blocs désodorisants et les remplacer s'il y a lieu,Route 2 - jour Entre-Lacs,,0.5,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
2025-05-30,mai,Jour,60089322,Non-fait,1-010-B2,Corridor,Vpoubelle,Vider poubelles et recupération,Route 2 - jour Entre-Lacs,,0.75,2025-05-30 00:00:00,2025-05-30 00:00:00,,,Récurrent,2025-05,Entre-Lacs,
